2021-12-14 00:00	CHECK
2021-12-14 01:00	CHECK
2021-12-14 02:00	CHECK
2021-12-14 03:00	CHECK
2021-12-14 04:00	CHECK
2021-12-14 05:00	CHECK
2021-12-14 06:00	CHECK
2021-12-14 07:00	CHECK
2021-12-14 08:00	CHECK
2021-12-14 09:00	CHECK
2021-12-14 10:00	CHECK
2021-12-14 11:00	CHECK
2021-12-14 12:00	CHECK
2021-12-14 13:00	CHECK
2021-12-14 14:00	CHECK
2021-12-14 16:00	CHECK
2021-12-14 17:00	CHECK
2021-12-14 18:00	CHECK
2021-12-14 19:00	CHECK
2021-12-14 20:00	CHECK
2021-12-14 21:00	CHECK
2021-12-14 22:00	CHECK
2021-12-14 23:00	CHECK
