2021-12-13 00:00	CHECK
2021-12-13 01:00	CHECK
2021-12-13 02:00	CHECK
2021-12-13 03:00	CHECK
2021-12-13 04:00	CHECK
2021-12-13 05:00	CHECK
2021-12-13 06:00	CHECK
2021-12-13 07:00	CHECK
2021-12-13 08:00	CHECK
2021-12-13 09:00	CHECK
2021-12-13 10:00	CHECK
2021-12-13 11:00	CHECK
2021-12-13 12:00	CHECK
2021-12-13 13:00	CHECK
2021-12-13 14:00	CHECK
2021-12-13 15:00	CHECK
2021-12-13 16:00	CHECK
2021-12-13 17:00	CHECK
2021-12-13 18:00	CHECK
2021-12-13 19:00	CHECK
2021-12-13 20:00	CHECK
2021-12-13 21:00	CHECK
2021-12-13 22:00	CHECK
2021-12-13 23:00	CHECK
